No.,Ticker,Market Cap,P/E,Fwd P/E,PEG,P/S,P/B,P/C,P/FCF,EPS this Y,EPS next Y,EPS past 5Y,EPS next 5Y,Sales past 5Y,Price,Change,Volume
96,APEI,439.82M,23.4,14.06,1.56,1.05,1.06,2.94,97.74,-22.30%,39.42%,-8.20%,15.00%,6.00%,23.52,0.81%,"156,027"
97,DJCO,421.96M,7.03,-,-,8.36,1.63,1.03,-,-,-,156.10%,-,3.50%,308,0.95%,"6,325"
98,FF,406.14M,16.12,-,1.61,1.26,1.47,2.2,-,-43.60%,-,-14.20%,10.00%,4.90%,9.67,4.20%,"767,303"
99,ANIK,397.62M,100.93,-,10.09,2.69,1.42,4.21,120.49,116.80%,-10.00%,-33.40%,10.00%,7.40%,28.26,2.80%,"154,066"
100,FANH,386.11M,9.1,6.44,-,0.74,1.4,1.75,128.7,44.50%,31.46%,12.30%,-,5.90%,7.69,6.95%,"37,746"
101,BGFV,377.30M,3.75,5.47,-,0.32,1.39,3.87,8.82,76.10%,8.33%,42.50%,-6.54%,2.60%,17.08,0.59%,"1,150,168"
102,VLGEA,352.11M,13.28,-,-,0.17,0.68,2.8,38.27,-20.30%,-,-9.90%,-,4.40%,24.3,0.41%,"60,100"
103,EHTH,347.81M,-,-,-,0.65,0.48,2.82,-,-372.90%,82.30%,56.43%,-,22.70%,13.24,1.92%,"691,515"
104,CATO,340.49M,7.83,-,0.78,0.43,1.21,1.7,2.96,-315.20%,-,-27.10%,10.00%,-10.70%,15.59,0.84%,"431,494"
105,NL,336.67M,6.48,-,-,2.39,0.92,2.29,187.04,248.50%,-,27.20%,-,5.30%,6.8,-1.45%,"58,565"
106,EZPW,336.29M,22.19,7.02,0.63,0.44,0.51,1.44,9.72,112.40%,30.77%,53.00%,35.00%,0.00%,5.97,0.34%,"439,160"
107,GRVY,328.11M,5.04,-,-,0.92,1.64,1.75,-,57.20%,-,41.60%,-,62.70%,47.83,2.57%,"33,722"
108,ALT,304.69M,-,-,-,69.25,1.54,1.6,-,-22.90%,-12.30%,45.70%,-,6.40%,7.21,2.27%,"7,336,542"
109,UEPS,291.31M,-,-,-,2.26,1.16,1.6,-,60.70%,-,-19.10%,15.00%,-26.00%,4.94,-2.18%,"789,592"
110,CIX,284.64M,17.87,-,-,2.02,1.72,3.72,-,60.40%,-,9.80%,-,5.30%,24,4.39%,"12,605"
111,VRA,275.64M,16.03,10.74,0.98,0.51,0.86,3.66,8.23,-62.90%,26.23%,-24.50%,16.30%,-1.40%,8.27,1.22%,"495,821"
112,KNDI,273.78M,12.23,-,-,2.99,0.65,1.49,-,261.70%,-260.70%,33.20%,-,-6.70%,3.73,3.90%,"1,464,081"
113,NTP,270.09M,5.7,-,0.46,1.77,1.02,2.22,-,216.80%,-,26.50%,12.50%,88.70%,7.05,2.47%,"215,047"
114,GNUS,269.40M,-,-,-,40.82,1.65,2.07,-,-125.90%,65.70%,0.60%,-,22.30%,0.93,3.35%,"2,995,329"
115,WILC,261.14M,15.28,-,1.02,1.89,1.46,2.41,21.41,-16.30%,-,31.50%,15.00%,9.10%,18.6,-0.65%,891
116,PFSW,260.97M,-,21.36,-,0.9,1.22,1.35,-,-146.60%,27.30%,9.20%,20.00%,3.50%,11.96,1.53%,"128,940"
117,POWL,250.02M,-,35.28,-,0.53,0.84,2.46,-,-96.20%,73.80%,-47.60%,10.00%,-3.60%,21.17,-0.38%,"79,523"
118,HOFT,240.44M,9.64,7.39,0.57,0.39,0.87,4.2,-,-161.60%,85.92%,-21.00%,17.00%,16.90%,19.5,-3.32%,"312,499"
119,MTRX,236.53M,-,14.47,-,0.36,0.95,3.64,337.9,-10.90%,186.50%,-26.90%,10.00%,-12.50%,8.68,-1.70%,"1,928,107"
120,NC,235.80M,5.37,-,-,1.23,0.73,2.74,3.68,219.30%,-,73.10%,-,11.50%,36,9.66%,"39,599"
121,HURC,225.63M,23.99,-,-,0.91,0.95,2.51,8.15,209.20%,-,-12.60%,-,0.70%,34.5,0.64%,"5,901"
122,LINC,205.91M,7.16,6.97,0.48,0.61,1.44,2.47,10.35,-30.00%,73.74%,23.40%,15.00%,3.30%,7.42,-1.07%,"164,284"
123,BSET,195.72M,11.15,8.44,0.7,0.4,1.22,3.76,-,275.30%,26.70%,4.70%,16.00%,2.40%,20.43,2.46%,"177,934"
124,ACTG,187.99M,-,16.52,-,6.44,0.83,0.29,-,549.20%,114.60%,20.00%,20.00%,-24.90%,3.8,0.26%,"294,215"
125,IMMR,176.99M,14.02,7.82,0.93,5.04,1.32,1.28,10.35,107.20%,2.90%,17.90%,15.00%,-9.30%,5.55,5.11%,"520,345"
126,GNE,176.09M,7.78,-,-,0.48,1.65,1.82,2.69,119.80%,-,22.70%,-,-,6.6,-1.79%,"22,393"
127,MN,173.31M,8.51,-,1.06,1.23,1.94,1.93,6.35,-,-,-38.43%,8.00%,-10.20%,9.16,1.10%,"8,671"
128,GAU,172.50M,2.76,10.62,-,-,0.49,2.45,-,134.30%,-44.76%,51.50%,-,-,0.62,-2.07%,"939,997"
129,SRT,163.11M,157.14,9.36,31.43,0.23,0.92,3.41,14.18,103.70%,46.88%,8.50%,5.00%,18.00%,4.4,8.64%,"134,407"
130,SPOK,161.89M,-,-,-,1.14,0.91,2.72,-,50.80%,-,-29.80%,-,-4.60%,8.16,-0.49%,"89,940"
131,CWCO,156.72M,71.09,16.37,8.89,2.4,0.94,3.65,30.73,-21.40%,357.69%,2.20%,8.00%,4.90%,9.74,-5.44%,"795,198"
132,ARC,154.69M,16.78,11.97,1.68,0.57,0.99,2.77,5.28,48.70%,0.00%,17.10%,10.00%,-7.70%,3.59,0.28%,"89,358"
133,GENC,153.55M,40,-,-,1.78,0.94,1.31,-,4.90%,-,-4.10%,-,4.00%,10.76,2.77%,"14,061"
134,XSPA,152.70M,48.06,7.1,2.4,2.07,1.64,1.4,-,84.40%,-25.00%,50.10%,20.00%,-18.10%,1.49,2.76%,"7,080,443"
135,AE,151.86M,12.71,12.11,-,0.07,0.95,1.55,2.35,1273.90%,18.93%,35.80%,-,13.00%,34.99,0.66%,"9,327"
136,LAKE,149.91M,8.94,9.88,0.45,1.17,1.21,2.7,6.17,956.30%,23.75%,32.10%,20.00%,9.80%,19.57,1.82%,"37,417"
137,ASXC,149.20M,-,-,-,18.2,0.99,1.52,-,67.50%,0.00%,54.40%,-,40.20%,0.71,13.01%,"20,251,367"
138,ASYS,147.34M,87.89,10.39,4.39,1.56,1.83,4.58,-,138.10%,168.73%,17.10%,20.00%,-6.70%,10.81,2.95%,"64,209"
139,EMKR,141.71M,5.72,9.82,0.38,0.85,1.01,1.89,15.08,398.20%,54.15%,48.60%,15.00%,11.50%,3.83,0.79%,"528,374"
140,FBIO,141.50M,-,-,-,2.2,1.3,0.56,-,11.50%,92.30%,12.20%,25.50%,121.10%,1.48,4.23%,"581,044"
141,CTG,140.72M,9.99,9.91,0.67,0.36,1.51,4.54,16.36,79.70%,33.33%,5.30%,15.00%,-0.20%,9.12,-0.55%,"29,374"
142,SPPI,139.28M,-,-,-,-,1.8,1.04,-,-12.50%,22.40%,-11.20%,-,-,0.9,5.67%,"3,309,636"
143,SGA,138.04M,14.29,-,7.15,1.28,0.7,2.22,13.02,-114.50%,-,-17.20%,2.00%,-3.00%,23.2,1.75%,"10,591"
144,SVRA,136.60M,-,-,-,136603.99,1.27,0.8,-,57.20%,12.50%,45.40%,-,-,1.3,8.33%,"162,816"
145,TNXP,135.80M,-,-,-,-,0.5,0.76,-,53.60%,25.00%,-,-,-,0.24,-5.62%,"38,379,993"
146,NNBR,133.41M,-,6.73,-,0.28,0.59,4.65,-,77.30%,120.00%,-18.40%,15.00%,-4.00%,2.96,-3.90%,"321,815"
147,VHC,132.50M,-,-,-,3312.52,0.78,0.78,-,-114.20%,-,-1.70%,15.00%,-,2.07,11.29%,"1,403,024"
148,GPL,127.20M,-,6.95,-,0.68,1.11,2.67,-,-,180.00%,-34.80%,-,24.60%,0.28,-4.14%,"5,095,634"
149,ITI,126.79M,-,43.15,-,0.97,1.69,4.61,57.63,126.20%,-,15.20%,30.00%,8.50%,3.15,5.35%,"503,285"
150,WHG,126.45M,12.53,-,-,1.73,1.03,1.58,-,209.90%,-,-15.00%,-,-9.90%,15.44,0.72%,"5,631"
151,SREV,125.90M,-,-,-,0.64,1.93,4.42,-,22.40%,-,16.60%,25.00%,-5.00%,1.31,3.15%,"87,548"
152,PED,124.80M,-,-,-,9.24,1.38,4.82,20.8,96.40%,-,66.80%,-,31.90%,1.5,2.74%,"702,973"
153,IVAC,124.21M,-,-,-,3.23,0.96,1.1,-,-114.80%,105.20%,-21.40%,8.00%,-13.60%,5.27,5.40%,"137,136"
154,FONR,122.63M,11.03,-,-,1.28,0.87,2.73,10.39,22.90%,-,-9.40%,-,4.20%,18.33,-0.16%,"40,731"
155,SRL,120.54M,14.88,-,-,2,0.46,2,-,102.00%,-,14.90%,-,-48.40%,8.29,1.72%,"14,912"
156,PWFL,120.50M,-,9.8,-,0.95,1.3,4.55,-,-14.10%,76.30%,-1.30%,30.00%,27.90%,3.4,1.49%,"156,474"
157,ADES,120.38M,1.98,-,0.04,1.2,0.81,1.53,4.91,389.30%,-,-5.50%,50.00%,14.70%,6.5,1.72%,"141,267"
158,MNOV,119.20M,-,-,-,29.8,1.5,1.67,-,33.10%,-,8.70%,-,-,2.57,5.76%,"86,463"
159,ATNM,115.39M,-,-,-,104.9,1.36,1.41,-,58.40%,-11.40%,35.60%,-,-,5.09,-2.86%,"100,131"
160,CRDF,113.90M,-,-,-,284.76,0.74,0.81,-,33.00%,-21.20%,62.20%,-,-1.20%,2.57,-2.28%,"759,133"
161,CASI,113.90M,-,-,-,4.41,1.32,1.82,-,8.90%,16.70%,-14.50%,-,216.50%,0.82,0.61%,"506,874"
162,SMED,111.59M,8.11,32.43,0.36,1.41,1.75,3.1,8.93,448.00%,60.18%,291.70%,22.50%,18.00%,5.87,1.21%,"237,289"
163,APTO,104.01M,-,-,-,-,1.22,1.09,-,-28.80%,-3.10%,7.30%,-,-,1.22,6.09%,"357,790"
164,IPA,101.81M,-,-,-,5.36,1.91,3.09,-,-22.70%,23.50%,-50.40%,-,-,4.67,13.08%,"19,033"
165,HIL,99.19M,-,-,-,0.26,0.92,3.77,991.92,-157.80%,-,9.20%,25.00%,-7.50%,1.72,-1.71%,"563,646"
166,GSIT,98.69M,-,-,-,3.06,1.61,2.05,-,-101.90%,25.70%,-56.70%,10.00%,-12.10%,4.4,9.18%,"64,290"
167,ASM,97.60M,-,9.69,-,29.58,1.26,3.94,-,-,75.44%,26.84%,-,-20.20%,0.97,0.52%,"404,897"
168,OIIM,97.51M,7.58,6.46,0.4,0.96,0.93,1.95,-,99.10%,34.05%,41.40%,19.00%,12.30%,3.23,-5.56%,"760,322"
169,MCHX,96.81M,-,-,-,1.81,1.9,3.48,-,-324.30%,53.80%,-26.86%,15.00%,-18.60%,2.28,-2.15%,"108,237"
170,SEEL,93.30M,-,-,-,-,1.75,1.19,-,-70.30%,23.60%,54.00%,-,-,0.96,8.71%,"2,495,326"
171,SUNW,86.71M,-,-,-,1.11,1.11,4.4,-,3.70%,16.20%,21.20%,10.00%,3.20%,2.84,-4.05%,"5,126,525"
172,LUB,85.90M,-,-,-,0.53,0.96,3.98,-,-90.10%,-,-21.54%,7.00%,-11.50%,2.3,1.32%,"392,663"
173,SFE,84.58M,4.06,-,-,-,1.61,3.42,-,175.10%,-,26.50%,-,-,4.85,-4.72%,"222,755"
174,OPTT,84.40M,-,-,-,60.29,1.05,1.33,-,65.80%,-,67.90%,-,11.30%,1.46,-3.31%,"520,937"
175,PCTI,84.28M,526.67,-,52.67,0.96,1.26,2.74,-,-95.50%,-,15.00%,10.00%,0.70%,4.74,3.04%,"54,219"
176,IBIO,83.90M,-,-,-,52.44,1.02,1.46,-,80.30%,11.10%,37.00%,-,20.10%,0.43,11.75%,"3,130,914"
177,ASMB,82.30M,-,-,-,13.06,0.48,0.56,-,-71.00%,1.40%,-3.10%,17.00%,-,1.79,4.68%,"827,664"
178,UAVS,81.91M,-,-,-,14.12,0.9,2.54,-,-86.70%,-,70.80%,-,-23.40%,1.12,5.66%,"4,609,493"
179,ALR,79.89M,-,18.36,-,0.09,0.35,0.92,-,-292.80%,83.60%,26.80%,14.25%,-7.50%,2.02,-17.55%,"221,108"
180,FEIM,79.82M,-,-,-,1.48,1.56,3.6,15.96,106.70%,-,-21.50%,15.00%,-0.40%,9.05,5.23%,"23,317"
181,LUMO,78.60M,-,-,-,392.98,0.9,0.83,-,-291.90%,0.80%,32.70%,15.20%,-63.60%,9.62,2.34%,"6,340"
182,NHTC,77.71M,73.89,-,-,1.3,1.32,0.93,-,28.70%,-,-54.40%,-,-26.90%,7.02,3.24%,"22,947"
